timestamp,sender,receiver,message_type,content
0,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 2
0,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 7
0,Control Center,UAV 5,TASK_ASSIGNMENT,Assign task 13
0,Control Center,UAV 3,TASK_ASSIGNMENT,Assign task 8
0,Control Center,UAV 4,TASK_ASSIGNMENT,Assign task 12
0,UAV 2,Control Center,TASK_START,Start task 2
0,UAV 1,Control Center,TASK_START,Start task 7
0,UAV 3,Control Center,TASK_START,Start task 8
0,UAV 4,Control Center,TASK_START,Start task 12
0,UAV 5,Control Center,TASK_START,Start task 13
1,UAV 1,Control Center,TASK_COMPLETE,Complete task 7
1,UAV 2,Control Center,TASK_COMPLETE,Complete task 2
1,UAV 3,Control Center,TASK_COMPLETE,Complete task 8
1,UAV 4,Control Center,TASK_COMPLETE,Complete task 12
1,UAV 5,Control Center,TASK_COMPLETE,Complete task 13
2,Control Center,UAV 4,TASK_ASSIGNMENT,Assign task 30
2,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 15
2,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 1
2,Control Center,UAV 5,TASK_ASSIGNMENT,Assign task 9
2,Control Center,UAV 3,TASK_ASSIGNMENT,Assign task 19
2,UAV 1,Control Center,TASK_START,Start task 1
2,UAV 5,Control Center,TASK_START,Start task 9
2,UAV 2,Control Center,TASK_START,Start task 15
2,UAV 3,Control Center,TASK_START,Start task 19
2,UAV 4,Control Center,TASK_START,Start task 30
3,UAV 1,Control Center,TASK_COMPLETE,Complete task 1
3,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.0%
3,UAV 2,Control Center,TASK_COMPLETE,Complete task 15
3,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.6%
3,UAV 3,Control Center,TASK_COMPLETE,Complete task 19
3,UAV 3,Control Center,CHARGING_REQUEST,"Request charging, battery: 17.3%"
3,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 3
3,AGV 2,UAV 3,CHARGING_START,Start charging
3,UAV 4,Control Center,TASK_COMPLETE,Complete task 30
3,UAV 4,Control Center,CHARGING_REQUEST,"Request charging, battery: 19.8%"
3,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 4
3,AGV 2,UAV 4,CHARGING_START,Start charging
3,UAV 5,Control Center,TASK_COMPLETE,Complete task 9
3,UAV 5,Control Center,CHARGING_REQUEST,"Request charging, battery: 17.2%"
3,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 5
3,AGV 2,UAV 5,CHARGING_START,Start charging
4,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 20
4,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 20
4,Control Center,UAV 4,TASK_ASSIGNMENT,Assign task 27
4,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 27
4,Control Center,UAV 3,TASK_ASSIGNMENT,Assign task 5
4,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 5
4,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 21
4,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 21
4,Control Center,UAV 5,TASK_ASSIGNMENT,Assign task 17
4,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 17
4,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 20
4,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 27
4,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 5
4,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 21
4,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 17
4,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.0%
4,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.6%
5,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.0%
5,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.6%
6,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.0%
6,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.6%
7,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.0%
7,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.6%
8,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.0%
8,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.6%
9,UAV 1,Control Center,LOW_BATTERY,Battery level: 27.0%
9,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.6%
10,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 4.3%"
10,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 1
10,AGV 2,UAV 1,CHARGING_START,Start charging
10,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 8.3%"
10,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 2
10,AGV 2,UAV 2,CHARGING_START,Start charging
23,UAV 3,Control Center,TASK_COMPLETE,Complete task 5
23,UAV 4,Control Center,TASK_COMPLETE,Complete task 27
23,UAV 5,Control Center,TASK_COMPLETE,Complete task 17
24,Control Center,UAV 4,TASK_ASSIGNMENT,Assign task 29
24,Control Center,UAV 3,TASK_ASSIGNMENT,Assign task 3
24,Control Center,AGV 2,RELAY_REQUEST,Request relay support for task 3
24,Control Center,UAV 5,TASK_ASSIGNMENT,Assign task 18
24,Control Center,AGV 2,RELAY_REQUEST,Request relay support for task 18
24,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 3
24,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 18
24,UAV 4,Control Center,TASK_START,Start task 29
24,UAV 3,Control Center,CHARGING_REQUEST,"Request charging, battery: 18.0%"
24,UAV 4,Control Center,LOW_BATTERY,Battery level: 28.9%
24,UAV 5,Control Center,CHARGING_REQUEST,"Request charging, battery: 15.1%"
25,UAV 2,Control Center,TASK_COMPLETE,Complete task 21
25,UAV 3,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
25,UAV 4,Control Center,TASK_COMPLETE,Complete task 29
25,UAV 4,Control Center,CHARGING_REQUEST,"Request charging, battery: 10.6%"
25,UAV 5,Control Center,TASK_COMPLETE,Complete task 18
25,UAV 5,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
26,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 23
26,UAV 2,Control Center,TASK_START,Start task 23
26,UAV 1,Control Center,TASK_COMPLETE,Complete task 20
26,UAV 3,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
26,UAV 4,Control Center,CHARGING_REQUEST,"Request charging, battery: 10.6%"
26,UAV 5,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
27,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 11
27,Control Center,UAV 4,TASK_ASSIGNMENT,Assign task 22
27,UAV 1,Control Center,TASK_START,Start task 11
27,UAV 4,Control Center,TASK_START,Start task 22
27,UAV 2,Control Center,TASK_COMPLETE,Complete task 23
27,UAV 3,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
27,UAV 4,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
27,UAV 5,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
28,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 28
28,UAV 2,Control Center,TASK_START,Start task 28
28,UAV 1,Control Center,TASK_COMPLETE,Complete task 11
28,UAV 1,Control Center,LOW_BATTERY,Battery level: 26.0%
28,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 8.9%"
28,UAV 3,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
28,UAV 4,Control Center,TASK_COMPLETE,Complete task 22
28,UAV 4,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
28,UAV 5,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
29,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 6
29,UAV 1,Control Center,TASK_START,Start task 6
29,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 5.7%"
29,UAV 2,Control Center,TASK_COMPLETE,Complete task 28
29,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
29,UAV 3,Control Center,TASK_COMPLETE,Complete task 3
29,UAV 3,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
29,UAV 4,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
29,UAV 5,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
30,UAV 1,Control Center,TASK_COMPLETE,Complete task 6
30,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
30,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
30,UAV 3,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
30,UAV 4,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
30,UAV 5,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
31,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
31,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
31,UAV 3,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
31,UAV 4,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
31,UAV 5,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
32,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
32,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
