step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,5,0,0,0.0,0.0,0.0,39.36349499805775,0.0,0.0,39.36349499805775
1,2,3,2,0,1123.5041525012875,0.0,1123.5041525012875,71.96349499805775,0.0,0.0,71.96349499805775
2,3,3,2,0,1123.5041525012875,20.0,1143.5041525012875,71.96349499805775,1.0,0.0,72.96349499805775
3,4,3,2,0,1123.5041525012875,40.0,1163.5041525012875,71.96349499805775,2.0,0.0,73.96349499805775
4,5,3,2,0,1123.5041525012875,60.0,1183.5041525012875,71.96349499805775,3.0,0.0,74.96349499805775
5,6,3,2,0,1123.5041525012875,80.0,1203.5041525012875,71.96349499805775,4.0,0.0,75.96349499805775
6,7,3,2,0,1123.5041525012875,100.0,1223.5041525012875,71.96349499805775,5.0,0.0,76.96349499805775
7,8,3,2,0,1123.5041525012875,120.0,1243.5041525012875,71.96349499805775,6.0,0.0,77.96349499805775
8,9,3,2,0,1123.5041525012875,140.0,1263.5041525012875,71.96349499805775,7.0,0.0,78.96349499805775
9,10,3,2,0,1123.5041525012875,160.0,1283.5041525012875,71.96349499805775,8.0,0.0,79.96349499805775
10,11,3,2,0,1123.5041525012875,174.2423737616324,1297.7465262629198,107.41922113440809,8.712118688081619,0.0,116.1313398224897
11,12,1,4,0,1597.8772648518416,184.2423737616324,1782.1196386134739,140.0192211344081,9.212118688081619,0.0,149.2313398224897
12,13,1,4,0,1597.8772648518416,194.2423737616324,1792.1196386134739,140.0192211344081,9.712118688081619,0.0,149.7313398224897
13,14,1,4,0,1597.8772648518416,204.2423737616324,1802.1196386134739,140.0192211344081,10.212118688081619,0.0,150.2313398224897
14,15,1,4,0,1597.8772648518416,214.2423737616324,1812.1196386134739,140.0192211344081,10.712118688081619,0.0,150.7313398224897
15,16,1,4,0,1597.8772648518416,224.2423737616324,1822.1196386134739,140.0192211344081,11.212118688081619,0.0,151.2313398224897
16,17,1,4,0,1597.8772648518416,234.2423737616324,1832.1196386134739,140.0192211344081,11.712118688081619,0.0,151.7313398224897
17,18,1,4,0,1597.8772648518416,244.2423737616324,1842.1196386134739,140.0192211344081,12.212118688081619,0.0,152.2313398224897
18,19,1,4,0,1597.8772648518416,254.2423737616324,1852.1196386134739,140.0192211344081,12.712118688081619,0.0,152.7313398224897
19,20,1,4,0,1597.8772648518416,264.2423737616324,1862.1196386134739,140.0192211344081,13.212118688081619,0.0,153.2313398224897
20,21,1,4,0,1597.8772648518416,274.2423737616324,1872.1196386134739,140.0192211344081,13.712118688081619,0.0,153.7313398224897
21,22,1,4,0,1597.8772648518416,284.2423737616324,1882.1196386134739,140.0192211344081,14.212118688081619,0.0,154.2313398224897
